event_time,changed_by,action_name,request_params,status_code
2026-04-24T14:53:21.378Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""CATALOG"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""0b2eacbd-5622-4294-b8f8-961779b1dd13\"",\""add\"":[\""MANAGE\""]}]"",""securable_full_name"":""juniper_square_demo_catalog"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-24T14:50:03.655Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""TABLE"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""jameson.delrio@databricks.com\"",\""remove\"":[\""SELECT\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline.silver_gl_transactions"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-24T14:50:02.887Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""TABLE"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""jameson.delrio@databricks.com\"",\""add\"":[\""SELECT\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline.silver_gl_transactions"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-24T14:50:01.984Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""SCHEMA"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""account users\"",\""add\"":[\""SELECT\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-24T14:50:00.612Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""TABLE"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""jameson.delrio@databricks.com\"",\""add\"":[\""MODIFY\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline.benchmark_summary"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-24T14:49:59.708Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""TABLE"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""jameson.delrio@databricks.com\"",\""add\"":[\""SELECT\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline.gold_gl_monthly_summary"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-24T14:49:58.551Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""TABLE"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""jameson.delrio@databricks.com\"",\""add\"":[\""SELECT\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline.silver_investors"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-23T18:11:46.916Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""SCHEMA"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""0b2eacbd-5622-4294-b8f8-961779b1dd13\"",\""add\"":[\""SELECT\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-23T18:11:45.966Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""SCHEMA"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""0b2eacbd-5622-4294-b8f8-961779b1dd13\"",\""add\"":[\""USE_SCHEMA\""]}]"",""securable_full_name"":""juniper_square_demo_catalog.pipeline"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
2026-04-23T18:11:43.017Z,fabien.vaucheret@databricks.com,updatePermissions,"{""securable_type"":""CATALOG"",""omit_permissions_in_response"":""true"",""changes"":""[{\""principal\"":\""0b2eacbd-5622-4294-b8f8-961779b1dd13\"",\""add\"":[\""USE_CATALOG\""]}]"",""securable_full_name"":""juniper_square_demo_catalog"",""workspace_id"":""7474657973275984"",""metastore_id"":""c0da88f1-c020-4992-b8c9-c828e556889d""}",200
