target,query_name,actual_start_offset_ms,queue_time_ms,latency_ms,total_latency_ms,success
dbsql,q8_refactored,0.0,5927.0,7776.0,13703.0,True
dbsql,q8_shape,0.0,2627.0,51569.0,54196.0,True
dbsql,q8_shape,9.0,2709.0,52400.0,55109.0,True
dbsql,q8_refactored,62.0,27007.0,891.0,27898.0,True
dbsql,q8_refactored,124.0,5927.0,6376.0,12303.0,True
dbsql,q8_shape,173.0,2549.0,52059.0,54608.0,True
dbsql,q8_refactored,565.0,5820.0,6374.0,12194.0,True
dbsql,q8_refactored,798.0,5618.0,7776.0,13394.0,True
dbsql,q8_refactored,1320.0,5075.0,7775.0,12850.0,True
dbsql,q8_refactored,1404.0,4910.0,7775.0,12685.0,True
dbsql,q8_refactored,1468.0,4860.0,7774.0,12634.0,True
dbsql,q8_refactored,1512.0,4675.0,7788.0,12463.0,True
dbsql,q8_shape,1542.0,2287.0,51369.0,53656.0,True
dbsql,q8_refactored,1904.0,25924.0,498.0,26422.0,True
dbsql,q8_refactored,2028.0,4385.0,7776.0,12161.0,True
dbsql,q8_refactored,2177.0,4229.0,7776.0,12005.0,True
dbsql,q8_refactored,2552.0,26376.0,816.0,27192.0,True
dbsql,q8_refactored,3000.0,26231.0,828.0,27059.0,True
dbsql,q8_refactored,3136.0,26235.0,796.0,27031.0,True
dbsql,q8_shape,3163.0,2446.0,48610.0,51056.0,True
dbsql,q8_shape,3423.0,24396.0,236961.0,261357.0,True
dbsql,q8_shape,4038.0,24423.0,235358.0,259781.0,True
dbsql,q8_refactored,4660.0,26032.0,761.0,26793.0,True
dbsql,q8_refactored,4671.0,26103.0,747.0,26850.0,True
dbsql,q8_refactored,4961.0,25923.0,739.0,26662.0,True
dbsql,q8_refactored,5425.0,26054.0,815.0,26869.0,True
dbsql,q8_shape,5439.0,22380.0,232577.0,254957.0,True
dbsql,q8_refactored,5736.0,26389.0,1352.0,27741.0,True
dbsql,q8_refactored,5765.0,26523.0,470.0,26993.0,True
dbsql,q8_refactored,6080.0,26445.0,1319.0,27764.0,True
dbsql,q8_refactored,6097.0,26524.0,933.0,27457.0,True
dbsql,q8_shape,6159.0,22310.0,231159.0,253469.0,True
dbsql,q8_refactored,6178.0,26596.0,1295.0,27891.0,True
dbsql,q8_refactored,6179.0,26740.0,1401.0,28141.0,True
dbsql,q8_refactored,6360.0,26590.0,1530.0,28120.0,True
dbsql,q8_shape,6479.0,21989.0,231884.0,253873.0,True
dbsql,q8_shape,6527.0,21922.0,239598.0,261520.0,True
dbsql,q8_refactored,6535.0,8881.0,1546.0,10427.0,True
dbsql,q8_refactored,6588.0,8930.0,1426.0,10356.0,True
dbsql,q8_refactored,6724.0,8890.0,1328.0,10218.0,True
